,Month,Week,TemperatureRank,Bike_out,Customer,Daily,Subscriber,Unknown
117,Jan,30,0,0.614117647,0.137647059,0,0.476470588,0
118,Jan,30,1,1.215384615,0.470769231,0.010769231,0.733846154,0
119,Jan,30,2,5.62,4.6,0,1.02,0
120,Jan,30,3,0,0,0,0,0
121,Jan,31,0,0.614117647,0.137647059,0,0.476470588,0
122,Jan,31,1,1.215384615,0.470769231,0.010769231,0.733846154,0
123,Jan,31,2,5.62,4.6,0,1.02,0
124,Jan,31,3,0,0,0,0,0
125,Feb,32,0,0.703636364,0.163636364,0,0.54,0
126,Feb,32,1,1.74,0.734666667,0.006666667,0.998666667,0
127,Feb,32,2,6.293333333,5.026666667,0.006666667,1.26,0
128,Feb,32,3,0,0,0,0,0
129,Feb,33,0,0.703636364,0.163636364,0,0.54,0
130,Feb,33,1,1.74,0.734666667,0.006666667,0.998666667,0
131,Feb,33,2,6.293333333,5.026666667,0.006666667,1.26,0
132,Feb,33,3,0,0,0,0,0
133,Feb,34,0,0.703636364,0.163636364,0,0.54,0
134,Feb,34,1,1.74,0.734666667,0.006666667,0.998666667,0
135,Feb,34,2,6.293333333,5.026666667,0.006666667,1.26,0
136,Feb,34,3,0,0,0,0,0
137,Feb,35,0,0.703636364,0.163636364,0,0.54,0
138,Feb,35,1,1.74,0.734666667,0.006666667,0.998666667,0
139,Feb,35,2,6.293333333,5.026666667,0.006666667,1.26,0
140,Feb,35,3,0,0,0,0,0
141,Mar,36,0,1.18,0.37,0,0.81,0
142,Mar,36,1,2.383076923,1.318461538,0.006153846,1.058461538,0
143,Mar,36,2,4.43125,2.85625,0.00625,1.56875,0
144,Mar,36,3,0,0,0,0,0
145,Mar,37,0,1.18,0.37,0,0.81,0
146,Mar,37,1,2.383076923,1.318461538,0.006153846,1.058461538,0
147,Mar,37,2,4.43125,2.85625,0.00625,1.56875,0
148,Mar,37,3,0,0,0,0,0
149,Mar,38,0,1.18,0.37,0,0.81,0
150,Mar,38,1,2.383076923,1.318461538,0.006153846,1.058461538,0
151,Mar,38,2,4.43125,2.85625,0.00625,1.56875,0
152,Mar,38,3,0,0,0,0,0
153,Mar,39,0,1.18,0.37,0,0.81,0
154,Mar,39,1,2.383076923,1.318461538,0.006153846,1.058461538,0
155,Mar,39,2,4.43125,2.85625,0.00625,1.56875,0
156,Mar,39,3,0,0,0,0,0
157,Mar,40,0,1.18,0.37,0,0.81,0
158,Mar,40,1,2.383076923,1.318461538,0.006153846,1.058461538,0
159,Mar,40,2,4.43125,2.85625,0.00625,1.56875,0
160,Mar,40,3,0,0,0,0,0
